,time,1604
0,2022-03-04,
1,2022-03-09,
2,2022-03-11,0.0
3,2022-03-14,
4,2022-03-19,
5,2022-03-21,0.0
6,2022-03-24,
7,2022-03-26,0.0
8,2022-04-13,
9,2022-04-20,
10,2022-04-25,
11,2022-04-28,
12,2022-04-30,0.0
13,2022-05-03,
14,2022-05-05,0.3
15,2022-05-10,0.01
16,2022-05-15,0.0
17,2022-05-18,
18,2022-05-20,0.0
19,2022-05-25,
20,2022-05-28,
21,2022-05-30,0.0
22,2022-06-04,0.15
23,2022-06-12,
24,2022-06-14,
25,2022-06-17,
26,2022-06-19,1.47
27,2022-06-27,
28,2022-07-02,
29,2022-07-09,3.88
30,2022-07-14,4.03
31,2022-07-17,
32,2022-07-19,1.59
33,2022-07-22,
34,2022-07-24,1.13
35,2022-08-01,
36,2022-08-03,0.9
37,2022-08-11,
38,2022-08-16,
39,2022-08-18,
40,2022-08-21,
41,2022-08-26,
42,2022-08-28,
43,2022-09-02,
44,2022-09-05,
45,2022-09-07,0.62
46,2022-09-12,
47,2022-09-22,0.07
